AscentDate,PeakPointName,Location,Lat,Long,Elevation-Gain(ft),Elevation-Gain(m),Prominence(ft),Prominence(m),Vertical-Up(ft),Vertical-Up(m),Distance(mi),Distance(km),Time-Up(min),Time-Down(min),Quality,RoadHike,MaintainedTrail,UnmaintainedTrail,Bushwhack,OpenCountry,MudSwamp,SnowOnGround,Scramble,ExposedScramble,Crampons,Rope,Headlamp,Poles,TentCamp,Solo-Hike,OnlyPartyOnMountain
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/27/18,Sandstone Peak,CA,34.120429,-118.931994,3111,948,2201,671,1006,307,5.7,9.173,60,110,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/18,Mugu Peak,CA,34.0926,-119.055101,1266,386,380,116,1243,379,5,8.047,90,70,4,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/09/19,Jones Peak,CA,34.186585,-118.052947,3375,1029,55,17,2272,693,6.1,9.816999,120,94,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/09/19,Hastings Peak,CA,34.194541,-118.062393,4000,1219,0,0,2897,883,6.7,10.783,150,120,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/16/19,Mount Islip,CA,34.345028,-117.839871,8250,2515,662,202,2594,791,8,12.874,200,210,7,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/30/19,Mount Wilson,CA,34.223722,-118.061675,5710,1740,150,45,3584,1092,11.3,18.185,210,240,6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/06/19,Saddleback Butte,CA,34.67607,-117.798293,3651,1113,716,218,947,289,4.8,7.724,70,80,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
